,Sentence,Polarity,Subjectivity
0,Home - BBC NewsSkip to contentBritish Broadcasting CorporationWatch LiveHomeNewsSportBusinessInnovationCultureArtsTravelEarthAudioVideoLiveIsrael-Gaza WarWar in UkraineUS & CanadaUKAfricaAsiaAustraliaEuropeLatin AmericaMiddle EastIn PicturesBBC InDepthBBC VerifyHomeNewsIsrael-Gaza WarWar in UkraineUS & CanadaUKUK PoliticsEnglandN. IrelandN. Ireland PoliticsScotlandScotland,0.0,0.0
1,PoliticsWalesWales PoliticsAfricaAsiaChinaIndiaAustraliaEuropeLatin AmericaMiddle EastIn PicturesBBC InDepthBBC VerifySportBusinessExecutive LoungeTechnology of BusinessFuture of BusinessInnovationTechnologyScience & HealthArtificial IntelligenceAI v the MindCultureFilm & TVMusicArt & DesignStyleBooksEntertainment NewsArtsArts in MotionTravelDestinationsAfricaAntarcticaAsiaAustralia and PacificCaribbean & BermudaCentral,0.0,0.0
2,AmericaEuropeMiddle EastNorth AmericaSouth AmericaWorld’s TableCulture & ExperiencesAdventuresThe SpeciaListEarthNatural WondersWeather & ScienceClimate SolutionsSustainable BusinessGreen LivingAudioPodcastsRadioAudio,0.0,0.0
3,"FAQsVideoLiveLive NewsLive SportHomeNewsSportBusinessInnovationCultureArtsTravelEarthAudioVideoLiveWeatherNewslettersNewsNewsRussian strikes kill at least 25, Ukraine saysRussia has stepped up attacks in recent days as the US paused military and intelligence aid to Kyiv.21 mins agoEuropeWhat US, Russia and Europe are thinking ahead of fresh Ukraine talksBBC correspondents weigh in as US and Ukrainian officials prepare to meet in Saudi Arabia.2 hrs",-0.02500000000000001,0.3125
4,"agoWorldWorst is yet to come as ex-cyclone nears AustraliaThe BBCs Katy Watson reports from the Gold Coast, as strong winds and heavy rains batter the region.8 hrs agoAfghan women who fled Taliban to study abroad face return after USAID freezeUS aid funding enabled the women to study in Oman - but their scholarships have been abruptly terminated.9 hrs agoWorldWhat is hantavirus that killed Gene Hackmans wifeBetsy Arakawa died from a respiratory illness linked to a rare virus transmitted by infected rodents.",0.04166666666666665,0.6266666666666667
5,"Heres what to know about the deadly disease.23 mins agoUS & CanadaWhat US, Russia and Europe are thinking ahead of fresh Ukraine talksBBC correspondents weigh in as US and Ukrainian officials prepare to meet in Saudi Arabia.2 hrs agoWorldEuropean leaders back realistic Arab plan for GazaThe foreign ministers of France, Germany, Italy and Britain welcomed the plan, which calls for Gaza to be rebuilt over five years.",0.02833333333333332,0.27166666666666667
6,4 hrs agoMiddle,0.0,0.0
7,"EastBourbon is out, patriotism is in - How Canadians are facing Trump threats head onAcross the country, Canadians are defiant in boycotting American goods and travel even as Trump promises another temporary reprieve.12 hrs agoUS & CanadaTwelve injured in shooting at Toronto pubThe three male suspects entered the pub and opened fire ""indiscriminately"" police say.6 hrs agoUS & CanadaWorst is yet to come as ex-cyclone nears AustraliaThe BBCs Katy Watson reports from the Gold Coast, as strong winds and heavy rains batter the region.8 hrs agoIs Trump reining in Musk after a cabinet showdown with secretaries?14 hrs agoTechnologyDouble murderer is first US inmate executed by firing squad in 15 years17 hrs agoUS & CanadaCanadian serial killers victim found in landfill13 hrs agoUS & CanadaMyanmars military government says it will hold elections in next year2 hrs agoAsiaThey lost 52 soldiers fighting alongside the US.",0.038541666666666655,0.22708333333333333
8,"Now they feel threatened by Trump11 hrs agoWorldMore to exploreStarmer praised for statesman role abroad but can he show same mojo at home?The PM seizes the spotlight as Trump upends the world order - but he faces serious challenges in the UK.3 hrs agoBBC InDepthAs at-home LED skin treatment booms, we ask experts what they thinkThe at-home light therapy treatment is increasingly being seen as a must-have skincare accessory.16 hrs agoTechnologyCan this man find a link to any Welsh person in 60 seconds?Every week, Elis James tries to find a mutual connection with a random Welsh caller - in one minute.10 hrs agoWalesWere a real risk: UK Eurovision stars promise not to shy awayAnnounced as the UKs entry, Remember Monday tell BBC Newsbeat they are feeling confident about their chances.17 hrs agoNewsbeatDiagnosed with arthritis at 24, she set out to hike... and change an unequal societyJoshuanette Francis strives to create a brighter future for people with physical challenges in Antigua.15 hrs agoLatin AmericaAs at-home LED skin treatment booms, we ask experts what they thinkThe at-home light therapy treatment is increasingly being seen as a must-have skincare accessory.16 hrs agoTechnologyTrump team hits pause on tariffs - but still sees them as vital toolThe White House sees levies as a means to reshape Americas relationship with its global partners.",0.011904761904761913,0.3852040816326531
9,"18 hrs agoUS & CanadaThe hidden world beneath the shadows of YouTubes algorithmTheres a secret side of YouTube, and its nothing like the one you know.",-0.2833333333333333,0.5166666666666666
10,"Party drug MDMA may have protected survivors of Nova attack from trauma, study suggestsNeuroscientists in Israel find signs that the drug helped festival survivors in the attack and the aftermath.",0.0,0.0
11,19 hrs agoMiddle,0.0,0.0
12,"EastCan this man find a link to any Welsh person in 60 seconds?Every week, Elis James tries to find a mutual connection with a random Welsh caller - in one minute.10 hrs agoWalesMost watched1Watch: Trudeau gets emotional at one of his final press conferences2Worst is yet to come as ex-cyclone nears Australia3Watch: Helicopter airlifts 71-year-old woman from car stuck in river4Trumps Canada 51st state plan is not a joke, says Foreign Minister5Ros",-0.145,0.5349999999999999
