,word,frequency
0,home,2
1,bbc,6
2,newsskip,1
3,contentbritish,1
4,broadcasting,2
5,corporationwatch,1
6,livehomenewssportbusinessinnovationcultureartstravelearthaudiovideoliveisrael,1
7,gaza,11
8,warwar,2
9,ukraineus,2
10,canadaukafricaasiaaustraliaeuropelatin,1
11,americamiddle,2
12,eastin,2
13,picturesbbc,2
14,indepthbbc,2
15,verifyhomenewsisrael,1
16,canadaukuk,1
17,politicsenglandn,1
18,irelandn,1
19,ireland,3
20,politicsscotlandscotland,1
21,politicswaleswales,1
22,politicsafricaasiachinaindiaaustraliaeuropelatin,1
23,verifysportbusinessexecutive,1
24,loungetechnology,1
25,businessfuture,1
26,businessinnovationtechnologyscience,1
27,healthartificial,1
28,intelligenceai,1
29,v,1
30,mindculturefilm,1
31,tvmusicart,1
32,designstylebooksentertainment,1
33,newsartsarts,1
34,motiontraveldestinationsafricaantarcticaasiaaustralia,1
35,pacificcaribbean,1
36,bermudacentral,1
37,americaeuropemiddle,1
38,eastnorth,1
39,americasouth,1
40,americaworld,1
41,tableculture,1
42,experiencesadventuresthe,1
43,specialistearthnatural,1
44,wondersweather,1
45,scienceclimate,1
46,solutionssustainable,1
47,businessgreen,1
48,livingaudiopodcastsradioaudio,1
49,faqsvideolivelive,1
50,newslive,1
51,sporthomenewssportbusinessinnovationcultureartstravelearthaudiovideoliveweathernewslettersnewsnewseuropean,1
52,army,1
53,chiefs,3
54,meet,1
55,paris,1
56,us,10
57,pauses,1
58,intelligence,4
59,sharing,4
60,ukrainemilitary,1
61,aid,4
62,hold,1
63,following,1
64,dramatic,1
65,breakdown,1
66,relations,2
67,9,4
68,mins,3
69,agoworldus,1
70,confirms,3
71,direct,3
72,talks,5
73,hamas,3
74,hostagesisrael,2
75,consulted,2
76,prior,2
77,according,2
78,white,2
79,house,2
80,reports,2
81,said,3
82,two,5
83,sides,2
84,discussing,2
85,release,2
86,hostages,2
87,46,2
88,agoworldman,1
89,swallows,3
90,stolen,3
91,tiffanys,3
92,earrings,5
93,police,3
94,arrest,3
95,man,2
96,allegedly,2
97,swallowed,2
98,pairs,2
99,worth,2
100,769,2
101,500,2
102,597,2
103,000,7
104,hoping,2
105,avoid,2
106,charged,4
107,theft,2
108,2,9
109,hrs,38
110,agous,8
111,canadaus,4
112,top,6
113,court,2
114,rejects,2
115,trump,11
116,bid,6
117,withhold,2
118,2bn,2
119,foreign,4
120,order,1
121,latest,1
122,legal,1
123,battle,1
124,challenging,1
125,administrations,1
126,efforts,1
127,cut,1
128,5,4
129,canadatrump,1
130,exempts,2
131,carmakers,3
132,tariffs,4
133,temporarilydonald,1
134,says,10
135,spared,1
136,day,1
137,went,1
138,effect,1
139,agoworldchina,1
140,ready,2
141,type,2
142,war,4
143,usthe,1
144,comments,2
145,come,1
146,response,1
147,beijing,1
148,boosts,1
149,defence,1
150,spending,1
151,7,2
152,agoworldfact,1
153,checking,2
154,trumps,12
155,address,5
156,congressbbc,1
157,verify,1
158,looked,1
159,several,1
160,claims,4
161,made,1
162,speech,4
163,congress,3
164,11,1
165,canadanine,1
166,things,2
167,lesotho,2
168,country,3
169,nobody,3
170,ever,2
171,heard,3
172,oflesotho,1
173,called,1
174,kingdom,1
175,sky,1
176,entirely,1
177,1,2
178,000m,1
179,3,2
180,agoafricaman,1
181,israel,3
182,reject,3
183,arab,5
184,alternative,3
185,plan9,1
186,agoworldsyria,1
187,vows,1
188,destroy,1
189,remaining,1
190,assad,1
191,era,3
192,chemical,1
193,weapons1,1
194,hr,1
195,agomiddle,2
196,eastscientists,1
197,crack,2
198,aspirin,2
199,might,2
200,stop,2
201,cancers,2
202,spreading6,1
203,agohealthdepraved,1
204,cowardly,1
205,rapist,1
206,may,3
207,attacked,1
208,50,5
209,women7,1
210,agoukus,1
211,actor,1
212,jesse,1
213,eisenberg,1
214,gets,1
215,polish,1
216,citizenship10,1
217,agoculturetrump,1
218,speechsix,1
219,takeaways,2
220,big,2
221,president,3
222,declares,1
223,america,1
224,back,1
225,spars,1
226,democrats,1
227,gives,1
228,shout,1
229,elon,1
230,musk,1
231,agoworldlesotho,1
232,shocked,1
233,remarks,1
234,countrylesotho,1
235,surprised,1
236,given,1
237,warm,1
238,cordial,1
239,4,6
240,agoafricawho,1
241,elissa,1
242,slotkin,1
243,democrat,1
244,responded,1
245,newly,1
246,elected,1
247,michigan,1
248,senator,1
249,accused,1
250,bringing,1
251,chaos,1
252,failing,1
253,tackle,1
254,high,1
255,prices,1
256,americans,1
257,care,1
258,16,4
259,canadayoung,1
260,republicans,2
261,cheer,1
262,texas,1
263,watch,2
264,party,1
265,hes,4
266,already,1
267,surpassed,1
268,expectations,1
269,say,3
270,13,2
271,canadamore,1
272,explorehow,1
273,pausing,1
274,impacts,1
275,ukraines,1
276,military,1
277,operationwithout,1
278,ukraine,3
279,able,1
280,make,3
281,effective,1
282,use,1
