,word,frequency
0,march,86
1,20,26
2,2025,125
3,33,4
4,edt,45
5,news,119
6,tel,4
7,aviv,4
8,israel,62
9,defense,25
10,minister,11
11,threatened,4
12,earlier,13
13,week,23
14,open,8
15,gates,2
16,hell,3
17,gaza,60
18,hamas,49
19,refuses,1
20,meet,6
21,prime,8
22,benjamin,4
23,netanyahu,17
24,demands,2
25,delivering,1
26,least,8
27,58,2
28,people,88
29,killed,27
30,third,9
31,consecutive,3
32,night,14
33,airstrikes,8
34,palestinian,14
35,territory,9
36,bringing,8
37,death,33
38,toll,2
39,estimated,4
40,500,4
41,since,19
42,ceasefire,30
43,shattered,3
44,tuesday,27
45,shock,1
46,pre,2
47,dawn,4
48,israeli,28
49,missile,3
50,barrages,1
51,according,62
52,enclave,6
53,run,9
54,ministry,9
55,health,18
56,dozen,4
57,overnight,4
58,strike,3
59,house,22
60,home,31
61,mubarak,1
62,family,35
63,northern,11
64,town,4
65,beit,1
66,lahiya,1
67,gathered,1
68,mourn,1
69,survivors,1
70,whisked,1
71,bodies,10
72,dead,9
73,hospital,7
74,ambulance,1
75,horse,2
76,cart,2
77,reports,10
78,fresh,3
79,early,16
80,thursday,8
81,morning,23
82,near,16
83,khan,2
84,younis,1
85,rafah,1
86,south,8
87,border,7
88,egypt,11
89,forces,14
90,confirmed,6
91,resumed,3
92,ground,8
93,operations,12
94,central,11
95,dividing,1
96,strip,14
97,north,5
98,along,10
99,netzarim,1
100,corridor,2
101,blocking,3
102,movement,1
103,across,17
104,line,5
105,idf,6
106,stationing,1
107,brigade,1
108,troops,4
109,airdropping,1
110,fliers,2
111,warning,5
112,civilians,8
113,evacuate,1
114,areas,4
115,around,29
116,entire,6
117,warned,6
118,would,75
119,turned,10
120,back,26
121,combat,3
122,zones,3
123,world,31
124,map,5
125,change,5
126,vanish,1
127,read,8
128,leaflets,1
129,dropped,6
130,aircraft,7
131,flee,1
132,feel,13
133,ask,3
134,left,25
135,alone,17
136,face,17
137,inevitable,2
138,fate,5
139,whoever,1
140,wants,4
141,save,2
142,late,7
143,stay,4
144,judgement,1
145,day,54
146,intend,1
147,harm,3
148,less,14
149,threatening,3
150,post,11
151,spokesman,3
152,arab,7
153,media,17
154,x,8
155,safety,9
156,forbidden,1
157,approach,6
158,defensive,1
159,zone,3
160,place,12
161,deployed,1
162,message,1
163,followed,5
164,severe,4
165,threat,2
166,katz,2
167,citizens,4
168,residents,3
169,final,12
170,video,14
171,broadcast,15
172,wednesday,39
173,afternoon,5
174,hostages,28
175,released,32
176,eliminated,1
177,act,20
178,never,20
179,known,20
180,take,23
181,advice,1
182,u,109
183,president,65
184,return,21
185,eliminate,3
186,options,13
187,including,43
188,going,13
189,places,4
190,wish,2
191,alternative,3
192,complete,11
193,destruction,3
194,devastation,1
195,appeared,7
196,collective,3
197,punishment,2
198,civilian,3
199,population,5
200,actions,9
201,long,32
202,designated,4
203,terrorist,8
204,organization,8
205,considered,2
206,war,38
207,crime,16
208,rome,1
209,statute,1
210,international,15
211,criminal,10
212,court,36
213,though,15
214,neither,4
215,signatories,1
216,treaty,1
217,renewed,2
218,bombing,2
219,drawn,1
220,fierce,2
221,condemnation,1
222,country,18
223,neighbors,1
224,efforts,14
225,houthi,5
226,militants,2
227,yemen,6
228,target,3
229,ships,2
230,red,12
231,sea,4
232,missiles,2
233,houthis,7
234,claimed,9
235,fired,9
236,hypersonic,1
237,ballistic,1
238,second,18
239,launch,3
240,days,17
241,group,22
242,attempted,4
243,hit,21
244,ben,11
245,gurion,1
246,airport,3
247,air,17
248,raid,1
249,alarms,1
250,peace,21
251,many,26
252,israelis,5
253,grown,2
254,accustomed,2
255,months,20
256,city,19
257,launched,11
258,intercepted,3
259,iaf,1
260,force,16
261,prior,4
262,crossing,1
263,statement,46
264,minutes,14
265,clear,5
266,given,7
267,damage,3
268,reported,14
269,targeted,6
270,uss,1
271,harry,4
272,truman,1
273,carrier,2
274,warships,1
275,drones,1
276,military,25
277,impacts,1
278,responded,5
279,resumption,4
280,rocket,1
281,launches,1
282,strikes,10
283,struck,4
284,targets,5
285,capital,3
286,sanaa,1
287,al,15
288,masirah,1
289,tv,18
290,women,15
291,children,13
292,wounded,3
293,residential,1
294,neighborhood,3
295,spokesperson,14
296,yemeni,4
297,southern,7
298,province,1
299,sites,3
300,weapons,4
301,warehouses,1
302,trump,81
303,truth,5
304,social,39
305,platform,5
306,completely,8
307,annihilated,1
308,command,1
309,centcom,3
310,american,25
311,continue,12
312,24,16
313,iran,4
314,backed,2
315,sharing,5
316,undated,1
317,videos,7
318,fighter,1
319,jets,1
320,taking,10
321,31,4
322,seized,2
323,control,7
324,food,7
325,program,1
326,warehouse,1
327,saada,1
328,containing,1
329,700,1
330,000,19
331,pounds,6
332,humanitarian,10
333,aid,10
334,intended,3
335,another,18
336,example,7
337,reckless,1
338,disregard,1
339,aggression,3
340,toward,12
341,help,20
342,need,20
343,violate,1
344,law,17
345,well,22
346,put,11
347,workers,4
348,yemini,1
349,risk,7
350,care,6
351,nothing,7
352,tucker,1
353,reals,1
354,contributed,23
355,report,58
356,ramy,2
357,inocencio,2
358,foreign,19
359,correspondent,8
360,based,31
361,london,5
362,covering,16
363,europe,9
364,middle,8
365,east,11
366,joined,11
367,network,6
368,2019,8
369,asia,7
370,beijing,2
371,reporting,7
372,pacific,5
373,decades,15
374,experience,7
375,working,8
376,traveling,8
377,united,19
378,states,19
379,interactive,41
380,inc,42
381,rights,52
382,reserved,44
383,updated,25
384,19,31
385,11,16
386,02,2
387,lunar,5
388,lander,7
389,completed,2
390,mission,22
391,sent,8
392,spectacular,1
393,sunset,4
394,images,12
395,goodbye,3
396,earth,14
397,blue,5
398,ghost,3
399,firefly,4
400,aerospace,2
401,mid,3
402,january,10
403,landed,2
404,moon,15
405,first,53
406,successful,1
407,commercial,7
408,landing,1
409,delivered,3
410,10,26
411,nasa,11
412,science,7
413,delivery,2
414,payloads,3
415,mare,1
416,crisium,1
417,basin,1
418,lava,1
419,flooded,1
420,region,11
421,side,3
422,formed,2
423,asteroid,1
424,impact,7
425,part,19
426,payload,3
427,services,11
428,artemis,1
429,programs,3
430,release,28
431,used,19
432,collect,1
433,data,17
434,perform,4
435,scientific,2
436,making,10
437,deliveries,2
438,experienced,3
439,course,6
440,captured,4
441,several,24
442,imaged,1
443,total,5
444,solar,7
445,eclipse,2
446,surface,4
447,took,21
448,pictures,2
449,referred,3
450,picture,2
451,farewell,1
452,sunsets,2
453,differently,2
454,company,31
455,wrote,22
456,alongside,6
457,photos,8
458,horizon,3
459,glow,2
460,comes,10
461,life,37
462,sun,13
463,goes,4
464,milestone,2
465,embodies,2
466,achievements,2
467,historic,3
468,thank,3
469,blueghost,2
470,next,7
471,time,61
472,pic,1
473,twitter,1
474,com,11
475,qfmetbivdt,1
476,transmitted,1
477,119,1
478,gigabytes,2
479,instruments,4
480,carried,2
481,performed,8
482,kind,10
483,technology,3
484,demonstrations,2
485,starting,4
486,deepest,1
487,robotic,1
488,planetary,2
489,subsurface,1
490,thermal,1
491,probe,2
492,using,6
493,ray,1
494,imager,1
495,study,7
496,interaction,2
497,wind,1
498,magnetic,1
499,field,6
500,operating,3
501,complex,3
502,carrying,3
503,ever,9
504,flown,1
505,makes,7
506,much,18
507,impressive,1
508,joel,1
509,kearns,1
510,deputy,8
511,associate,3
512,administrator,5
513,exploration,1
514,directorate,1
515,teams,6
516,eagerly,1
517,analyzing,1
518,extremely,2
519,excited,1
520,expected,8
521,findings,3
522,gained,1
523,set,10
524,record,15
525,longest,3
526,send,2
527,50,9
528,various,6
529,parts,2
530,space,9
531,agency,22
532,kerry,3
533,breen,2
534,editor,12
535,cbsnews,10
536,graduate,2
537,new,85
538,york,26
539,university,29
540,arthur,3
541,l,5
542,carter,2
543,school,17
544,journalism,2
545,previously,19
546,worked,11
547,nbc,3
548,today,11
549,digital,7
550,covers,9
551,current,9
552,events,7
553,breaking,6
554,issues,11
555,substance,2
556,use,21
557,december,13
558,2024,24
559,36,4
560,pm,28
561,est,6
562,seesaw,1
563,marriage,4
564,former,16
565,ballerina,2
566,older,3
567,husband,3
568,lasted,4
569,years,49
570,shot,5
571,sept,3
572,27,7
573,2020,13
574,ashley,27
575,byers,1
576,met,8
577,doug,23
578,benefield,5
579,dinner,2
580,florida,5
581,august,4
582,2016,5
583,sparks,2
584,flew,1
585,immediately,9
586,swimsuit,1
587,model,2
588,54,4
589,consultant,1
590,companies,2
591,government,44
592,contractors,1
593,couple,8
594,married,6
595,13,12
596,later,38
597,hometown,2
598,charleston,3
599,carolina,3
600,front,5
