,Sentence,Polarity,Subjectivity
0,Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos                                                                                                                                      Fox News Media Fox News Fox Business Fox Nation Fox News Audio Fox Weather Outkick Fox Noticias Books       Latest Breaking News Today from Fox News             U.S.                                   Crime                                                               Immigration                                                               Terror                                                               True Crime                                                               Bryan Kohberger                                 Politics                                   Trumps First 100 Days,0.4,0.6958333333333334
1,Senate                                                               House                                                               Judiciary                                                               Foreign Policy                                                               Fox News Polls                                                               Elections                                 World                                   U.N.                                                               Conflicts                                                               Terrorism                                                               Disasters                                                               Global Economy                                                               Environment                                                               Religion                                                               Scandals                                 Opinion  Media                                   Fox Nation Coverage                                 Entertainment                                   Exclusives                                                               Country Music                                                               Royals                                                               Gene Hackman                                                               Blake Lively                                                               Diddy                                                               Game Shows                                                               Hot Videos                                 Sports                                   NFL                                                               College Football                                                               MLB                                                               NBA                                                               NHL                                                               Golf                                                               Tennis                                                               Soccer                                                               UFC                                                               WWE                                 Lifestyle                                   MAHA                                                               Health                                                               Travel                                                               Food & Drink                                                               Games & Quizzes                                 Health  Video  AI  More      Expand   Collapse search    Log,0.06022727272727272,0.3958333333333333
2,In    Watch                 TV   Menu           Home   Trumps First 100 Days   Israel-Hamas Ceasefire   DOGE   Gene Hackman      TRENDING   TRUMPS FIRST 100 DAYS   ISRAEL-HAMAS CEASEFIRE   DOGE   GENE HACKMAN          SP500         I:COMP         I:DJI                                                            Games                   Expand Collapse Menu                           Daily Crossword Puzzle                                                 DownWords                                                 Crazy Crystals Match 3 Game                                                 Word Swap                                                 Word Search                                                 Mini Crossword Puzzle                                                 Stack and Match Block Puzzle                                                 5 Across the Letter Word Game                                               Deals                                         FOX Business                   Expand Collapse Menu                           Personal Finance                                                 Economy                                                 Markets                                                 Watchlist                                                 Lifestyle                                                 Real Estate                                                 Tech                                               Science & Tech                   Expand Collapse Menu                           Air & Space                                                 Security                                                 Innovation                                                 Video Games                                                 Military Tech                                                 Planet Earth                                                 Wild Nature                                               Watch Live                    Expand Collapse,-0.0512396694214876,0.3606060606060606
3,Menu                           FOX News Shows                                                 Programming Schedule                                                 On Air Personalities                                                 Full Episodes                                                 Show Clips                                                 News Clips                                               Apps & Products                   Expand Collapse Menu                           FOX News Go                                                 FOX Weather                                                 FOX Nation                                                 FOX Noticias                                                 FOX News Shop                                                 FOX News Radio                                                 Outkick                                                 Newsletters                                                 Podcasts                                                   U.S.                   Expand Collapse Menu                           Crime                                                 Immigration                                                 Terror                                                 True Crime                                                 Bryan Kohberger,0.35,0.6000000000000001
4,Politics                   Expand Collapse Menu                           Trumps First 100 Days,0.25,0.3333333333333333
5,Senate                                                 House                                                 Judiciary                                                 Foreign Policy                                                 Fox News Polls                                                 Elections                                               World                   Expand Collapse Menu                           U.N.                                                 Conflicts                                                 Terrorism                                                 Disasters                                                 Global Economy                                                 Environment                                                 Religion                                                 Scandals                                               Opinion                                         Media                   Expand Collapse Menu                           FOX Nation Coverage                                               Entertainment                   Expand Collapse Menu                           Exclusives                                                 Country Music                                                 Royals                                                 Gene Hackman                                                 Blake Lively                                                 Diddy                                                 Game Shows                                                 Hot Videos                                               Sports                   Expand Collapse Menu                           NFL                                                 College Football                                                 MLB                                                 NBA                                                 NHL                                                 Golf                                                 Tennis                                                 Soccer                                                 UFC                                                 WWE                                               Lifestyle                   Expand Collapse Menu                           MAHA                                                 Health                                                 Travel                                                 Food & Drink                                                 Games & Quizzes                                               Deals                                         FOX Business                   Expand Collapse Menu                           Personal Finance                                                 Economy                                                 Markets                                                 Watchlist                                                 Lifestyle                                                 Real Estate                                                 Tech                                               Science & Tech                   Expand Collapse Menu                           Air & Space                                                 Security                                                 Innovation                                                 Planet Earth                                                 Wild Nature                                                 Video Games                                                 Military Tech                                               Games                   Expand Collapse Menu                           Daily Crossword Puzzle                                                 DownWords                                                 Crazy Crystals Match 3 Game                                                 Word Swap                                                 Word Search                                                 Mini Crossword Puzzle                                                 Stack and Match Block Puzzle                                                 5 Across the Letter Word Game                                               Watch Live                   Expand Collapse Menu                           FOX News Shows                                                 Programming Schedule                                                 On Air Personalities                                                 Watch Live                                                 Full Episodes                                                 Show Clips                                                 News Clips                                               Apps & Products                   Expand Collapse Menu                           FOX News Go                                                 FOX Weather                                                 FOX Nation                                                 FOX Noticias                                                 FOX News Shop                                                 FOX News Radio                                                 Outkick                                                 Newsletters                                                 Podcasts                                               About                   Expand Collapse Menu                           Contact Us                                                 Careers                                                 Fox Around the World                                                 Advertise With Us                                                 Media Relations                                                 Corporate Infromation                                                 Compliance                                Facebook Twitter Instagram Youtube Flipboard LinkedIn Slack  RSS  Newsletters Spotify iHeartRadio      Fox News    Updated Terms of Use New Privacy Policy Your Privacy Choices Closed Caption Policy Help Contact Us,-0.03576555023923445,0.35681818181818176
6,"Accessibility Statement  This material may not be published, broadcast, rewritten, or redistributed.",0.0,0.0
7,"©2025 FOX News Network, LLC.",0.0,0.0
8,All rights reserved.,0.0,0.0
9,Quotes displayed in real-time or                 delayed                 by at least 15 minutes.,-0.3,0.4
10,Market data provided by Factset.,0.0,0.0
11,Powered                 and implemented by FactSet                   Digital Solutions. Legal Statement.,0.1,0.1
12,Mutual Fund and                 ETF data provided by Refinitiv Lipper.,0.0,0.0
13,‘NO AUTHORITY’      White House unleashes on ‘rogue bureaucrats’ resisting Trump’s DOGE order                        GREEN LIGHT,0.06666666666666667,0.3333333333333333
14,"Trump admin scores win as it looks to ramp up deportation efforts      5 min read                    MYSTERY SOLVED      What to know about the rare mouse-borne disease that killed Gene Hackman’s wife      4 min read     Actor’s final days with wife   Dr Siegel explains Gene Hackman’s death                  CHIEFS STAR BUSTED      Super Bowl star, former first-round draft pick arrested in Texas",0.20555555555555557,0.4944444444444444
15,1 min read                ‘HOME FIELD ADVANTAGE’  OPINION     Supreme Court’s USAID move has a surprise benefit for Trump      11 min read                TOP SECRET TOUCHDOWN      Space Force’s mysterious X-37B plane returns to Earth after 434 days in orbit      3 min read             Video MISERABLE PEOPLE  WATCH     Dems confronted on Capitol Hill: ‘What could Trump do to make you clap?’,-0.225,0.8
16,‘Why didn’t you stand?’,0.0,0.0
17,TRIAL BY ‘FYRE’      Officials raise red flag after founder of infamous botched music festival attempts round 2      6 min read                SOUTHERN CHARM      US city sees major boost in housing market as Americans flock to area      5 min read                CUE THE CLASSICS      Conservative actors share list of movies every college student should see      7 min read                                                   Fox News Channel                                  Pay TV Login Required   Live                                        Fox Business Channel                                  Pay TV Login Required                                          Fox Nation                                  Subscription Required                                          FOX Weather                                  Free to Watch                                          Fox Radio                                  Free to Listen                                          OutKick                                  Free to Watch                           Sponsored by                              CREDIBLE                    Car Insurance Rates Are Soaring - Lock in a Lower Price Now!,0.11988636363636365,0.55
18,OUTKICK,0.0,0.0
19,"Jason Aldeans wife triggers the left with Trump comments                                  TUNE IN                    Exclusive interview with President Trump tomorrow on ‘Sunday Morning Futures’ at 10 AM ET                                  Apple                    Apple just dropped a new iPad, iPad Air, MacBook Air and Mac Studio:",0.06818181818181818,0.22727272727272727
20,"Heres what you need to know                                        WATCH LIVE: Latest coverage of today’s top stories on ‘FOX News Live’                entertainment     Red Hot Chili Peppers front man’s girlfriend of the ‘90s was ‘rattled’ by his addiction    BOOKS  9 min read                 Dem lawmaker arrested for DUI fails sobriety test with wife asleep in backseat    CRIME  5 min read                    Police officer killed, another injured in shooting involving 14-year-old suspect    POLICE AND LAW ENFORCEMENT",0.10284090909090907,0.44375
21,4 min read               Video  WATCH,0.0,0.0
22,Lead singer for popular rock band dishes on his go-to food before concert    VIDEO                     Trump opens up about tariff negotiations in exclusive interview with Maria Bartiromo    MEDIA  3 min read                    NYT guest essayist says wokeness has been dealt another major blow    MEDIA  4 min read                travel     ‘Speaker scum’ on flights sparks debate among travelers: ‘Getting out of hand’    TRAVEL  4 min read                    PLAY NOW!,0.09583333333333333,0.6
23,"FOX News Easter Edition Activity Kit, Crosswords, Word Search & More                        Americans support for Israel in its war against Hamas falls to record low    MEDIA  3 min read                    Dem strategists reveal what lawmakers should have done differently for Trumps speech    DEMOCRATIC PARTY  4 min",0.16666666666666666,0.4666666666666666
24,read                OPINION     President,0.0,0.0
