,word,frequency
0,material,38
1,may,44
2,2025,66
3,reserved,38
4,quotes,36
5,displayed,36
6,delayed,40
7,least,40
8,15,36
9,minutes,38
10,market,42
11,factset,72
12,powered,36
13,implemented,36
14,digital,76
15,solutions,36
16,legal,38
17,statement,44
18,mutual,32
19,fund,36
20,etf,32
21,refinitiv,32
22,lipper,32
23,estate,2
24,broker,2
25,katrina,2
26,campins,2
27,joins,2
28,live,8
29,forecast,2
30,potential,8
31,effects,2
32,president,42
33,donald,22
34,trump,86
35,tariffs,14
36,housing,2
37,expected,6
38,another,10
39,busy,4
40,week,22
41,back,22
42,oval,4
43,office,10
44,including,10
45,rallying,4
46,republican,6
47,congressional,2
48,support,6
49,pass,6
50,continuing,6
51,resolution,6
52,ahead,4
53,friday,16
54,government,10
55,shutdown,8
56,deadline,2
57,lawmakers,4
58,capitol,6
59,hill,2
60,midst,2
61,hammering,2
62,stopgap,2
63,spending,16
64,bill,16
65,would,34
66,federal,4
67,sept,2
68,30,2
69,face,8
70,end,12
71,working,6
72,great,10
73,house,20
74,republicans,12
75,september,4
76,give,2
77,us,24
78,needed,2
79,work,6
80,agenda,2
81,post,4
82,truth,2
83,social,6
84,wednesday,4
85,conservatives,2
86,love,34
87,sets,2
88,cut,12
89,taxes,4
90,reconciliation,2
91,effectively,2
92,freezing,2
93,year,28
94,added,12
95,secret,2
96,service,2
97,shoots,2
98,man,2
99,overnight,2
100,armed,2
101,confrontation,2
102,near,2
103,white,8
104,addresses,2
105,joint,6
106,session,6
107,congress,10
108,u,26
109,march,14
110,win,8
111,mcnamee,2
112,getty,40
113,images,42
114,negotiators,2
115,released,4
116,99,2
117,page,2
118,piece,2
119,legislation,4
120,saturday,4
121,roughly,4
122,maintain,2
123,current,6
124,funding,4
125,levels,2
126,beginning,4
127,fiscal,4
128,fy,2
129,2026,2
130,begins,2
131,oct,4
132,confident,2
133,alone,2
134,previously,6
135,reported,8
136,leadership,2
137,aides,2
138,media,12
139,call,6
140,closely,4
141,coordinated,2
142,noted,8
143,reviewed,2
144,specific,2
145,canadians,2
146,feel,6
147,economic,4
148,attack,2
149,frustration,2
150,annexation,2
151,talk,2
152,ambassador,2
153,democrats,8
154,meanwhile,4
155,reject,2
156,claiming,2
157,trying,12
158,medicare,4
159,medicaid,4
160,sunrise,2
161,light,4
162,hits,4
163,dome,2
164,jan,4
