,Sentence,Polarity,Subjectivity
0,Contact the NPR sponsorship team at National Public Media to learn more about opportunities for your brand.,0.25,0.2833333333333333
1,"For more than 45 years, NPR has been working to ""create a more informed public."" Today, that means making its fact-based journalism and storytelling accessible everywhere people are - from radio to digital and podcasts, and now across events, voice activation and IOT.",0.275,0.28833333333333333
2,"An innovative corporate sponsorship program helps sustain this work and fuel the future of NPR. Through collaboration with National Public Media, NPR sponsorship opportunities now extend across a growing number of platforms including smart speakers and award-winning integrations in the NPR.org audio player. On every platform, sponsorship is designed to prioritize user experience, offer transparency and fit the aesthetic of the NPR environment.",0.18571428571428572,0.37242063492063493
3,"National Public Media is the exclusive sponsorship sales team for NPR and delivers sponsorship revenue to stations across the country. Committed to supporting the continued growth of public media, it works to ensure sponsorship is valuable to brands and audiences alike, and to advance universal best practices in audience research, measurement, product design, brand creative and more.",0.32142857142857145,0.31190476190476196
4,"For additional information on NPR sponsorship opportunities and insights on audio advertising, visit nationalpublicmedia.com.",0.0,0.0
5,"To connect with National Public Media staff about a speaking opportunity or interview request, email Devon Landis at dlandis (at) nationalpublicmedia (dot) com.",0.0,0.06666666666666667
6,"All NPR funding sources, including corporate sponsors, are considered under the ""access"" principle, which means that NPR has no list of sources from which funding will not be accepted. However, potential conflict of interest and problems of listener misperception, confusion, or similar reason regarding the funder's role and/or influence on programming will be considered in accepting or rejecting underwriting.",0.0,0.4666666666666666
7,Sponsor Message,0.0,0.0
8,Become an NPR sponsor,0.0,0.0
9,"March 20, 2025 • Orange Is the New Black's Uzo Aduba says she doesn't believe in destiny. In this week's Wild Card, Aduba opens up about how motherhood shaped her and why she's made peace with mortality.",0.023232323232323233,0.42929292929292934
10,"March 20, 2025 • Big Bird, politics, and the ABCs: how a television show made to represent New York City neighborhoods like Harlem and the Bronx became beloved by families around a divided country. This episode originally ran in 2022 as ""Getting to Sesame Street.""",0.3028409090909091,0.5761363636363637
11,"Micro drama apps such as ReelShort, FlickReels and DramaBox offer short clips that add up to movie-length stories. They're filmed vertically, so you can follow the twisty plotlines without turning your phone. Above, scenes from micro dramas Fake Married to My Billionaire CEO (left), True Heiress vs. Fake Queen Bee and Billionaire CEO's Secret Obsession.                                        ReelShort                                    hide caption",-0.08888888888888889,0.5
12,"March 19, 2025 • Apps like ReelShort, FlickReels and DramaBox offer short clips that add up to movie-length stories. Plus, they're filmed vertically, so you can follow the twisty plotlines without turning your phone.",0.0,0.3
13,Amanda Seyfried plays a police officer investigating the disappearance of her sister in Long Bright River.                                        Matt Infante/Peacock                                    hide caption,0.325,0.6
14,"March 18, 2025 • Set in a Philadelphia neighborhood that's been ravaged by opioids, Amanda Seyfried stars in this heartfelt Peacock series that centers wounded communities and families.",0.0,1.0
15,"Seth Rogen plays a flustered Hollywood executive who gets an unexpected promotion in his new Apple TV+ comedy series The Studio. Just like real studio executives, Rogen says, his character is ""very panicked and stressed out and wears it on his sleeve.""                                                        Apple TV+                                    hide caption",0.15909090909090912,0.5136363636363637
16,"March 18, 2025 • Rogen plays a flustered Hollywood studio head in a new Apple TV+ show. These executives ""really could get fired at any moment for anything,"" Rogen says — and their feedback is often based in fear.",0.16818181818181818,0.32727272727272727
17,George Lopez at Maximum Fun HQ                                                        Daniel Speer                                    hide caption,0.3,0.2
18,"March 18, 2025 • This week we're talking with the one and only George Lopez. He joins us to talk about how he and his daughter Mayan approached creating their sitcom Lopez vs Lopez. He also opens up about his upbringing and the relationship he had with his grandparents who raised him. He also gets into how his comedy style has changed over the years since he first performed on The Tonight Show in the nineties.",0.125,0.6666666666666666
19,"Adam Scott as Mark Scout in the series Severance, now streaming on Apple TV+.                                                        AppleTV+                                    hide caption",0.0,0.0
20,"March 17, 2025 • What if we had the ultimate work-life balance? This fundamental question underlies the hit Apple TV+ show Severance – now in its second season. Ahead of the season 2 finale this Friday, producer Rachel Carlson sat down with the science consultant for the series, Dr. Vijay Agarwal. Vijay says the concept is ""resoundingly"" possible – and that scientists closer than we might think.",-0.038888888888888896,0.5722222222222222
21,"Sara Carton, left, and Ben Mezzenga in Love Is Blind.                                         Clifton Prescod/Netflix                                    hide caption",0.0,0.4222222222222222
22,"March 15, 2025 • In Season 8, two of the women who dumped their respective fiancés at the altar cited the men's inability to engage meaningfully with political issues that were important to their partners.",0.225,0.425
23,"March 14, 2025 • Amer grew up in Kuwait, where he enjoyed a comfortable life — until the first Gulf War forced his family to flee to the U.S. His Netflix show Mo is in its second season. Originally broadcast in 2022.",0.20416666666666664,0.46388888888888885
24,John Mulaney hosts Everybody's Live with John Mulaney on Wednesday night. The program runs on Wednesdays starting at 10 p.m. Eastern for 11 more weeks.                                                        Ryan West/Netflix                                    hide caption,0.21212121212121213,0.3666666666666667
25,"March 13, 2025 • Comedian John Mulaney is going live on Wednesday nights for 12 weeks on Netflix. NPR's TV critic says that in the first episode, Mulaney seemed to be enjoying the absurdity of the whole setup much more than any of the actual content he was presenting.",0.2643939393939394,0.4055555555555555
26,Joe Pyne                                                        Everett Collection                                    hide caption,0.0,0.0
27,"March 13, 2025 • A new series from Radio Diaries remembers controversial broadcasters in American history, including Joe Pyne, who paved the way for in-your-face radio hosts like Rush Limbaugh.",0.2287878787878788,0.4681818181818182
28,"March 13, 2025 • The White Lotus star says she is prepared for any outcome. In this week's Wild Card, Natasha Rothwell shares the advice she happily ignored and how she finds power in solitude.",0.3,0.4666666666666666
29,"George Wallace attends the 2025 ESSENCE Black Women In Hollywood Awards at Fairmont Century Plaza on February 27, 2025 in Los Angeles, California.                                                        Leon Bennett/Getty Images for ESSENCE                                    hide caption",-0.16666666666666666,0.43333333333333335
30,"March 11, 2025 • George Wallace has been doing stand-up for fifty years. Known for his evergreen humor, he's practically royalty in Las Vegas, where he's done so many residencies he's lost count. Wallace talks to Bullseye about his love of the 70s, welcoming everyone in the room as a performer, and the influence of preaching on his comedy style.",0.5,0.55
31,"""What I've actually found is that whole myth that you can't be happy and still be funny is a myth,"" Bill Burr says.                                                        Hulu                                    hide caption",0.3125,0.625
32,"March 10, 2025 • Burr is known for his contrarian, fiery stand-up, but lately he's been feeling lighter on stage. His latest Hulu comedy special is Bill Burr: Drop Dead Years.",0.08928571428571429,0.6178571428571428
33,"March 10, 2025 • Live television is all about high risk, high reward. Whether it's musical performances, awards ceremonies, sports events, or comedy shows, there's an electric charge to watching something as it's happening. Today, we're debating the greatest moments of live television in pop culture - including a viral news blooper, John Travolta's ""Adele Dazeem"" flub at the Oscars, Kanye stating ""George Bush doesn't care about Black people"", and The Beatles making their debut on The Ed Sullivan Show.",0.20372294372294372,0.501904761904762
34,'No Other Land' wins Best Documentary at the 2025 Oscars                                                        Jason Armond / Los Angeles Times via Getty Images                                    hide caption,0.340625,0.21875
35,"March 7, 2025 • Last weekend, the Academy Award for Best Documentary went to a film that still lacks a U.S. distribution deal. 'No Other Land' is a powerful look at Palestine's southern West Bank, and has received widespread acclaim. So what's holding it back from being seen in theaters across America?",0.19464285714285715,0.2488095238095238
36,Kiefer Sutherland in Designated Survivor.                                                        Netflix                                    hide caption,0.0,0.0
37,"March 6, 2025 • What is it about a show that turns you into a bitter-ender, that keeps you dutifully watching every last episode, long after the train has jumped the tracks? Even when you know it's not good, but, for you anyway, it's just good enough to muddle through, all the way to the finale? Today, we're revisiting our conversation about terrible but bingeable TV shows",-0.11666666666666665,0.5277777777777778
38,"Daredevil, played by Charlie Cox.                                                        Giovanni Rufino/Marvel                                    hide caption",0.0,0.0
39,"March 5, 2025 • With Thunderbolts*, Superman, The Fantastic Four: First Steps and more, 2025 is shaping up to be a year of superheroes across film and TV. But Daredevil: Born Again shows a hesitance to embrace the hero in superheroes.",0.3833333333333333,0.5777777777777778
40,"Sesame Street characters pose under a ""123 Sesame Street"" sign in celebration of their 40th anniversary in 2009.                                                        Astrid Stawiarz/Getty Images                                    hide caption",0.0,0.0
41,"March 5, 2025 • The layoffs come after 200 Sesame Workshop employees announced they want to form a union.",0.0,0.0
42,Tina Fey                                                        Mary Ellen Matthews                                    hide caption,0.0,0.0
43,"March 5, 2025 • Mary Ellen Matthews has been SNL's photographer for 25 years. In a new book, The Art of the SNL Portrait, she shares her most iconic celebrity photos, like Pete Davidson eating pasta.",0.37878787878787873,0.48484848484848486
44,Kansas City Current forward Temwa Chaŵinga and Portland Thorns FC defender Reyna Reyes in March 2024.                                                        Reed Hoffmann/AP                                    hide caption,0.0,0.4
45,"March 5, 2025 • A trailblazing generation of players is retiring. In a new docuseries from Prime Video, we hear from a new group of players and coaches vying to be the next best in American women's soccer.",0.2545454545454545,0.2418181818181818
