,word,frequency
0,contact,60
1,sponsorship,51
2,team,88
3,national,118
4,public,175
5,media,83
6,learn,23
7,opportunities,9
8,brand,16
9,45,53
10,years,338
11,working,135
12,create,35
13,informed,19
14,today,63
15,means,33
16,making,208
17,fact,37
18,based,80
19,journalism,29
20,storytelling,6
21,accessible,13
22,everywhere,49
23,people,1062
24,radio,313
25,digital,31
26,podcasts,31
27,across,101
28,events,23
29,voice,37
30,activation,1
31,iot,1
32,innovative,3
33,corporate,17
34,program,135
35,helps,18
36,sustain,3
37,work,240
38,fuel,3
39,future,337
40,collaboration,24
41,extend,4
42,growing,43
43,number,20
44,platforms,40
45,including,254
46,smart,5
47,speakers,2
48,award,23
49,winning,32
50,integrations,1
51,player,36
52,every,114
53,platform,28
54,designed,6
55,prioritize,3
56,user,34
57,experience,32
58,offer,63
59,transparency,3
60,fit,5
61,aesthetic,1
62,environment,8
63,exclusive,3
64,sales,41
65,delivers,7
66,revenue,16
67,stations,86
68,country,128
69,committed,41
70,supporting,10
71,continued,3
72,growth,5
73,works,84
74,ensure,21
75,valuable,7
76,brands,4
77,audiences,52
78,alike,2
79,advance,5
80,universal,8
81,best,90
82,practices,26
83,audience,54
84,research,42
85,measurement,2
86,product,11
87,design,7
88,creative,13
89,additional,14
90,insights,7
91,advertising,4
92,nationalpublicmedia,2
93,com,7
94,connect,8
95,staff,67
96,speaking,97
97,opportunity,13
98,interview,67
99,request,62
100,email,40
101,devon,1
102,landis,1
103,dlandis,1
104,dot,2
105,funding,181
106,sources,13
107,sponsors,12
108,considered,19
109,access,81
110,principle,1
111,list,64
112,accepted,4
113,however,14
114,potential,17
115,conflict,8
116,interest,17
117,problems,29
118,listener,5
119,misperception,1
120,confusion,3
121,similar,29
122,reason,101
123,regarding,9
124,funder,1
125,role,47
126,influence,28
127,accepting,4
128,rejecting,2
129,underwriting,1
130,sponsor,238
131,message,123
132,become,146
133,march,808
134,20,245
135,2025,1319
136,orange,8
137,new,594
138,black,81
139,uzo,11
140,aduba,21
141,says,906
142,believe,13
143,destiny,10
144,week,152
145,wild,26
146,card,30
147,opens,33
148,motherhood,9
149,shaped,7
150,made,201
151,peace,32
152,mortality,7
153,big,68
154,bird,24
155,politics,26
156,abcs,6
157,television,14
158,show,142
159,represent,20
160,york,144
161,city,63
162,neighborhoods,29
163,like,533
164,harlem,6
165,bronx,7
166,became,23
167,beloved,12
168,families,53
169,around,292
170,divided,7
171,episode,54
172,originally,14
173,ran,17
174,2022,28
175,getting,57
176,sesame,9
177,street,48
178,micro,8
179,drama,10
180,apps,11
181,reelshort,12
182,flickreels,8
183,dramabox,8
184,short,39
185,clips,8
186,add,16
187,movie,49
188,length,16
189,stories,68
190,filmed,8
191,vertically,8
192,follow,28
193,twisty,9
194,plotlines,8
195,without,94
196,turning,10
197,phone,14
198,scenes,9
199,dramas,4
200,fake,8
201,married,7
202,billionaire,10
203,ceo,55
204,left,94
205,true,23
206,heiress,4
207,vs,8
208,queen,11
209,bee,4
210,secret,15
211,obsession,4
212,19,198
213,plus,43
214,amanda,11
215,seyfried,4
216,plays,33
217,police,280
218,officer,40
219,investigating,3
220,disappearance,2
221,sister,5
222,long,160
223,bright,8
224,river,57
225,matt,11
226,infante,3
227,peacock,4
228,18,147
229,set,89
230,philadelphia,7
231,neighborhood,13
232,ravaged,3
233,opioids,2
234,stars,18
235,heartfelt,2
236,series,54
237,centers,20
238,wounded,2
239,communities,15
240,seth,2
241,rogen,8
242,flustered,4
243,hollywood,12
244,executive,177
245,gets,21
246,unexpected,5
247,promotion,6
248,apple,45
249,tv,42
250,comedy,24
251,studio,20
252,real,41
253,executives,8
254,character,13
255,panicked,2
256,stressed,2
257,wears,6
258,sleeve,2
259,head,37
260,really,91
261,could,275
262,get,329
263,fired,30
264,moment,36
265,anything,20
266,feedback,4
267,often,57
268,fear,19
269,george,27
270,lopez,32
271,maximum,6
272,fun,11
273,hq,4
274,daniel,14
275,speer,3
276,talking,60
277,one,380
278,joins,9
279,us,290
280,talk,54
281,daughter,11
282,mayan,3
283,approached,3
284,creating,6
285,sitcom,3
286,also,290
287,upbringing,3
288,relationship,23
289,grandparents,3
290,raised,8
291,style,9
292,changed,16
293,since,145
294,first,238
295,performed,3
296,tonight,3
297,nineties,3
298,adam,9
299,scott,39
300,mark,22
301,scout,6
302,severance,6
303,streaming,12
304,appletv,3
305,17,78
306,ultimate,3
307,life,151
308,balance,7
309,fundamental,6
310,question,29
311,underlies,3
312,hit,32
313,second,42
314,season,93
315,ahead,14
316,finale,5
317,friday,40
318,producer,13
319,rachel,114
320,carlson,3
321,sat,6
322,science,33
323,consultant,3
324,dr,30
325,vijay,6
326,agarwal,3
327,concept,8
328,resoundingly,3
329,possible,88
330,scientists,33
331,closer,6
332,might,65
333,think,305
334,sara,3
335,carton,2
336,ben,7
337,mezzenga,2
338,love,51
339,blind,6
340,clifton,2
341,prescod,3
342,netflix,18
343,15,129
344,two,131
345,women,285
346,dumped,2
347,respective,15
348,fiancés,2
349,altar,2
350,cited,3
351,men,40
352,inability,3
353,engage,12
354,meaningfully,2
355,political,24
356,issues,24
357,important,26
358,partners,13
359,14,88
360,amer,1
361,grew,2
362,kuwait,1
363,enjoyed,1
364,comfortable,5
365,gulf,5
366,war,71
367,forced,11
368,family,188
369,flee,3
370,u,282
371,mo,4
372,broadcast,21
373,john,40
374,mulaney,4
375,hosts,14
376,everybody,14
377,live,76
378,wednesday,51
379,night,46
380,runs,41
381,wednesdays,1
382,starting,12
383,10,229
384,p,5
385,eastern,5
386,11,59
387,weeks,87
388,ryan,11
389,west,31
390,13,115
391,comedian,6
392,going,307
393,nights,3
394,12,68
395,critic,12
396,seemed,3
397,enjoying,1
398,absurdity,1
399,whole,19
400,setup,2
401,much,195
402,actual,8
403,content,138
404,presenting,3
405,joe,18
406,pyne,2
407,everett,1
408,collection,13
409,diaries,1
410,remembers,1
411,controversial,10
412,broadcasters,34
413,american,75
414,history,50
415,paved,1
416,way,193
417,face,20
418,rush,280
419,limbaugh,1
420,white,75
421,lotus,6
422,star,24
423,prepared,7
424,outcome,3
425,natasha,11
426,rothwell,10
427,shares,17
428,advice,22
429,happily,2
430,ignored,7
431,finds,11
432,power,150
433,solitude,2
434,wallace,5
435,attends,5
436,essence,3
437,awards,29
438,fairmont,1
439,century,9
440,plaza,1
441,february,353
442,27,51
443,los,28
444,angeles,28
445,california,25
446,leon,6
447,bennett,2
448,stand,32
449,fifty,1
450,known,51
451,evergreen,1
452,humor,7
453,practically,2
454,royalty,5
455,las,2
456,vegas,6
457,done,75
458,many,280
459,residencies,1
460,lost,61
461,count,8
462,talks,33
463,bullseye,6
464,70s,1
465,welcoming,1
466,everyone,146
467,room,17
468,performer,1
469,preaching,1
470,actually,39
471,found,80
472,myth,5
473,happy,15
474,still,339
475,funny,3
476,bill,21
477,burr,6
478,hulu,9
479,contrarian,2
480,fiery,3
481,lately,4
482,feeling,46
483,lighter,3
484,stage,14
485,latest,40
486,special,39
487,drop,4
488,dead,86
489,high,38
490,risk,115
491,reward,7
492,whether,60
493,musical,23
494,performances,8
495,ceremonies,5
496,sports,15
497,shows,36
498,electric,6
499,charge,11
500,watching,11
501,something,314
502,happening,33
503,debating,2
504,greatest,6
505,moments,13
506,pop,26
507,culture,45
508,viral,3
509,blooper,2
510,travolta,2
511,adele,2
512,dazeem,2
513,flub,2
514,oscars,18
515,kanye,2
516,stating,2
517,bush,12
518,care,59
519,beatles,4
520,debut,11
521,ed,3
522,sullivan,5
523,land,70
524,wins,7
525,documentary,14
526,jason,7
527,armond,3
528,times,160
529,via,169
530,last,188
531,weekend,32
532,academy,12
533,went,118
534,film,57
535,lacks,10
536,distribution,18
537,deal,33
538,powerful,16
539,look,148
540,palestine,4
541,southern,25
542,bank,18
543,received,59
544,widespread,11
545,acclaim,5
546,holding,18
547,back,127
548,seen,47
549,theaters,13
550,america,115
551,kiefer,2
552,sutherland,2
553,designated,42
554,survivor,2
555,turns,11
556,bitter,2
557,ender,2
558,keeps,12
559,dutifully,2
560,train,56
561,jumped,4
562,tracks,7
563,even,187
564,know,291
565,good,161
566,anyway,27
567,enough,207
568,muddle,2
569,revisiting,4
570,conversation,17
571,terrible,32
572,bingeable,2
573,daredevil,6
574,played,11
575,charlie,4
576,cox,4
577,giovanni,4
578,rufino,3
579,marvel,4
580,thunderbolts,3
581,superman,3
582,fantastic,34
583,four,38
584,steps,15
585,shaping,4
586,year,241
587,superheroes,6
588,born,17
589,hesitance,3
590,embrace,8
591,hero,5
592,characters,6
593,pose,4
594,123,1
595,sign,67
